Wall time,Step,Value
1690527147.388007,6,-12.0
1690527147.413594,7,18.0
1690527147.51505,11,-2.0
1690527147.5401092,12,-22.0
1690527147.592494,14,16.0
1690527147.618453,15,16.0
1690527147.642578,16,0.0
1690527147.692717,18,12.0
1690527147.7186282,19,2.0
1690527147.743082,20,-16.0
1690527147.7685912,21,4.0
1690527147.8696692,25,0.0
1690527148.0955179,34,10.0
1690527148.12111,35,8.0
1690527148.1714401,37,-16.0
1690527148.246767,40,-8.0
1690527148.271971,41,14.0
1690527148.3231082,43,12.0
1690527148.373605,45,-16.0
1690527148.3990688,46,0.0
1690527148.448692,48,18.0
1690527148.499269,50,4.0
1690527148.523913,51,6.0
1690527148.597219,54,-10.0
1690527148.6222029,55,8.0
1690527148.6472828,56,18.0
1690527148.672271,57,16.0
1690527148.696744,58,8.0
1690527148.772507,61,2.0
1690527148.7981398,62,4.0
1690527148.848428,64,10.0
1690527148.898324,66,2.0
1690527148.923658,67,16.0
1690527148.9482188,68,12.0
1690527148.972693,69,12.0
1690527149.0487502,72,8.0
1690527149.073243,73,20.0
1690527149.0980968,74,10.0
1690527149.123163,75,14.0
1690527149.1733491,77,14.0
1690527149.2490728,80,-18.0
1690527149.373017,85,28.0
1690527149.39831,86,12.0
1690527149.423899,87,20.0
1690527149.448642,88,26.0
1690527149.473928,89,4.0
1690527149.498844,90,10.0
1690527149.624259,95,-2.0
1690527150.06284,103,6.0
1690527150.138328,106,8.0
1690527150.162987,107,14.0
1690527150.341869,114,20.0
1690527150.417414,117,2.0
1690527150.467911,119,4.0
1690527150.4934049,120,24.0
1690527150.518485,121,-4.0
1690527150.618992,125,12.0
1690527150.6443892,126,30.0
1690527150.669877,127,24.0
1690527150.745942,130,24.0
1690527150.7710998,131,20.0
1690527150.846095,134,-6.0
1690527150.946172,138,24.0
1690527150.995553,140,20.0
1690527151.0457249,142,20.0
1690527151.0713222,143,24.0
1690527151.0963762,144,8.0
1690527151.1220999,145,18.0
1690527151.22264,149,16.0
1690527151.2733262,151,18.0
1690527151.3475258,154,10.0
1690527151.372959,155,12.0
1690527151.39801,156,4.0
1690527151.448788,158,6.0
1690527151.474122,159,22.0
1690527151.4989738,160,6.0
1690527151.574162,163,38.0
1690527151.624576,165,10.0
1690527151.6501231,166,6.0
1690527151.699328,168,16.0
1690527151.724662,169,0.0
1690527151.8011782,172,26.0
1690527151.928437,177,34.0
1690527151.954165,178,24.0
1690527151.979487,179,12.0
1690527152.029957,181,18.0
1690527152.054807,182,6.0
1690527152.1050189,184,6.0
1690527152.156032,186,4.0
1690527152.181961,187,10.0
1690527152.207801,188,12.0
1690527152.234426,189,24.0
1690527152.28813,191,4.0
1690527152.3150039,192,16.0
1690527152.501902,199,36.0
1690527152.852267,203,14.0
1690527152.9554582,207,20.0
1690527152.980719,208,36.0
1690527153.006158,209,10.0
1690527153.107038,213,26.0
1690527153.182931,216,30.0
1690527153.25849,219,22.0
1690527153.28322,220,22.0
1690527153.358704,223,16.0
1690527153.384267,224,32.0
1690527153.435362,226,46.0
1690527153.4606779,227,44.0
1690527153.48631,228,34.0
1690527153.5371578,230,26.0
1690527153.5617762,231,12.0
1690527153.613069,233,24.0
1690527153.638078,234,26.0
1690527153.663187,235,22.0
1690527153.7393038,238,26.0
1690527153.81598,241,30.0
1690527153.944182,246,26.0
1690527153.9945128,248,36.0
1690527154.044966,250,22.0
1690527154.070237,251,16.0
1690527154.197302,256,20.0
1690527154.273124,259,22.0
1690527154.299056,260,24.0
1690527154.324557,261,22.0
1690527154.3499808,262,22.0
1690527154.400586,264,28.0
1690527154.503039,268,28.0
1690527154.554173,270,16.0
1690527154.604456,272,16.0
1690527154.656079,274,24.0
1690527154.785863,279,30.0
1690527154.8375769,281,16.0
1690527154.941416,285,40.0
1690527155.070001,290,20.0
1690527155.1232672,292,24.0
1690527155.149538,293,24.0
1690527155.225547,296,44.0
1690527155.2777758,298,44.0
1690527155.305464,299,32.0
1690527155.568406,300,30.0
1690527155.619061,302,38.0
1690527155.6442308,303,28.0
1690527155.670601,304,24.0
1690527155.772602,308,32.0
1690527155.7975109,309,24.0
1690527155.847588,311,32.0
1690527155.924659,314,38.0
1690527156.026867,318,30.0
1690527156.052351,319,24.0
1690527156.078377,320,32.0
1690527156.103062,321,40.0
1690527156.155282,323,30.0
1690527156.230921,326,42.0
1690527156.256448,327,38.0
1690527156.281348,328,44.0
1690527156.3561091,331,40.0
1690527156.3815901,332,26.0
1690527156.4321961,334,28.0
1690527156.586827,340,48.0
1690527156.638005,342,28.0
1690527156.715275,345,32.0
1690527156.740969,346,28.0
1690527156.793321,348,28.0
1690527156.8188632,349,48.0
1690527156.953428,354,30.0
1690527156.979774,355,28.0
1690527157.0326972,357,14.0
1690527157.084147,359,28.0
1690527157.1092649,360,42.0
1690527157.1355479,361,44.0
1690527157.212411,364,34.0
1690527157.237555,365,32.0
1690527157.3137999,368,44.0
1690527157.3392599,369,32.0
1690527157.390454,371,38.0
1690527157.4160929,372,38.0
1690527157.467521,374,26.0
1690527157.567719,378,36.0
1690527157.594066,379,54.0
1690527157.619047,380,36.0
1690527157.6701791,382,36.0
1690527157.696658,383,30.0
1690527157.7744808,386,44.0
1690527157.801857,387,42.0
1690527157.828529,388,56.0
1690527157.855496,389,42.0
1690527157.90943,391,48.0
1690527157.936864,392,40.0
1690527157.963795,393,40.0
1690527157.9908779,394,26.0
1690527158.4797492,403,46.0
1690527158.507311,404,50.0
1690527158.5616739,406,34.0
1690527158.641053,409,22.0
1690527158.822138,416,48.0
1690527158.848674,417,38.0
1690527158.9518762,421,34.0
1690527158.977221,422,36.0
1690527159.002914,423,48.0
1690527159.054126,425,42.0
1690527159.105765,427,38.0
1690527159.2113018,431,46.0
1690527159.441778,440,46.0
