Wall time,Step,Value
1690527088.965085,6,-22.0
1690527088.991029,7,-16.0
1690527089.092001,11,-31.0
1690527089.1176572,12,-28.0
1690527089.1675599,14,-25.0
1690527089.192848,15,-22.0
1690527089.218981,16,-28.0
1690527089.269973,18,-25.0
1690527089.29524,19,-19.0
1690527089.32042,20,-19.0
1690527089.345061,21,-25.0
1690527089.445146,25,-10.0
1690527089.6720572,34,-28.0
1690527089.6971068,35,-19.0
1690527089.747127,37,-25.0
1690527089.822399,40,-19.0
1690527089.8472261,41,-19.0
1690527089.897686,43,-16.0
1690527089.950232,45,-25.0
1690527089.977407,46,-16.0
1690527090.030123,48,-22.0
1690527090.090979,50,-22.0
1690527090.120588,51,-25.0
1690527090.202732,54,-10.0
1690527090.2304928,55,-10.0
1690527090.257531,56,-40.0
1690527090.286953,57,-10.0
1690527090.317332,58,-16.0
1690527090.399523,61,-25.0
1690527090.425398,62,-25.0
1690527090.477303,64,-22.0
1690527090.530594,66,-40.0
1690527090.5582678,67,-31.0
1690527090.584687,68,-16.0
1690527090.6099331,69,-16.0
1690527090.685656,72,-28.0
1690527090.710646,73,-13.0
1690527090.7366579,74,-25.0
1690527090.761785,75,-16.0
1690527090.8127842,77,-16.0
1690527090.888565,80,-31.0
1690527091.0138109,85,-22.0
1690527091.0399969,86,-19.0
1690527091.0656419,87,-7.0
1690527091.0908911,88,-16.0
1690527091.11583,89,-10.0
1690527091.140946,90,-16.0
1690527091.26541,95,-10.0
1690527091.704279,103,-7.0
1690527091.779603,106,-22.0
1690527091.8047621,107,-16.0
1690527091.9824882,114,-10.0
1690527092.057816,117,-13.0
1690527092.108038,119,-7.0
1690527092.133461,120,-31.0
1690527092.158158,121,-22.0
1690527092.258998,125,-13.0
1690527092.284229,126,-13.0
1690527092.3095942,127,-13.0
1690527092.386003,130,-4.0
1690527092.410885,131,-4.0
1690527092.486712,134,-16.0
1690527092.5877812,138,-4.0
1690527092.63823,140,-10.0
1690527092.688853,142,-22.0
1690527092.713469,143,-13.0
1690527092.738802,144,2.0
1690527092.763892,145,-13.0
1690527092.8635688,149,-19.0
1690527092.9153001,151,-1.0
1690527092.991081,154,-4.0
1690527093.016692,155,-1.0
1690527093.041905,156,-13.0
1690527093.092153,158,-16.0
1690527093.117409,159,-16.0
1690527093.141889,160,-7.0
1690527093.218376,163,-22.0
1690527093.269237,165,-22.0
1690527093.294492,166,-16.0
1690527093.3445508,168,-10.0
1690527093.3699572,169,-13.0
1690527093.4472818,172,-22.0
1690527093.573505,177,-4.0
1690527093.598347,178,-22.0
1690527093.6235242,179,-7.0
1690527093.6739159,181,-1.0
1690527093.699444,182,-4.0
1690527093.749996,184,-19.0
1690527093.802461,186,-4.0
1690527093.827816,187,-10.0
1690527093.853235,188,-19.0
1690527093.878298,189,-19.0
1690527093.929965,191,-13.0
1690527093.9556549,192,-10.0
1690527094.13235,199,-10.0
1690527094.467942,203,-16.0
1690527094.567839,207,2.0
1690527094.59349,208,-4.0
1690527094.618573,209,-7.0
1690527094.7198,213,-7.0
1690527094.796288,216,2.0
1690527094.872494,219,-4.0
1690527094.897984,220,-7.0
1690527094.975085,223,-1.0
1690527095.0000079,224,-13.0
1690527095.050981,226,-10.0
1690527095.0764558,227,-7.0
1690527095.102027,228,-4.0
1690527095.153014,230,-10.0
1690527095.178421,231,-7.0
1690527095.228595,233,-4.0
1690527095.2543519,234,11.0
1690527095.2797198,235,-13.0
1690527095.355433,238,-13.0
1690527095.430567,241,-4.0
1690527095.557717,246,-4.0
1690527095.6094432,248,2.0
1690527095.663116,250,-7.0
1690527095.689557,251,-4.0
1690527095.824189,256,-4.0
1690527095.908585,259,-4.0
1690527095.936002,260,-10.0
1690527095.962443,261,-13.0
1690527095.990129,262,-4.0
1690527096.0438662,264,-1.0
1690527096.150507,268,-16.0
1690527096.205724,270,8.0
1690527096.260996,272,-1.0
1690527096.313146,274,-7.0
1690527096.4397628,279,-1.0
1690527096.491203,281,-13.0
1690527096.593461,285,11.0
1690527096.721128,290,-4.0
1690527096.772207,292,-1.0
1690527096.796926,293,-4.0
1690527096.8725388,296,-4.0
1690527096.923616,298,-4.0
1690527096.948888,299,5.0
1690527097.208811,300,-1.0
1690527097.260061,302,-7.0
1690527097.285459,303,11.0
1690527097.311088,304,2.0
1690527097.4126441,308,-4.0
