Wall time,Step,Value
1690526789.6889431,6,-2.0
1690526789.715338,7,14.0
1690526789.8227332,11,-16.0
1690526789.848661,12,6.0
1690526789.9000762,14,-8.0
1690526789.924881,15,10.0
1690526789.95012,16,0.0
1690526790.0007749,18,8.0
1690526790.025455,19,-10.0
1690526790.050588,20,-4.0
1690526790.075937,21,22.0
1690526790.174994,25,-12.0
1690526790.4017541,34,6.0
1690526790.426644,35,-10.0
1690526790.476068,37,-8.0
1690526790.551208,40,6.0
1690526790.5764291,41,-4.0
1690526790.627424,43,0.0
1690526790.677652,45,0.0
1690526790.703329,46,2.0
1690526790.754411,48,6.0
1690526790.804317,50,4.0
1690526790.8299048,51,18.0
1690526790.905997,54,0.0
1690526790.93106,55,14.0
1690526790.9556391,56,-8.0
1690526790.980497,57,-6.0
1690526791.00596,58,10.0
1690526791.0812101,61,12.0
1690526791.106435,62,-6.0
1690526791.155803,64,0.0
1690526791.206211,66,24.0
1690526791.231749,67,10.0
1690526791.2572129,68,12.0
1690526791.282815,69,18.0
1690526791.358625,72,-12.0
1690526791.3831959,73,42.0
1690526791.408607,74,20.0
1690526791.433262,75,16.0
1690526791.482924,77,0.0
1690526791.559268,80,2.0
1690526791.68392,85,10.0
1690526791.70855,86,18.0
1690526791.7334368,87,-2.0
1690526791.759187,88,18.0
1690526791.785074,89,18.0
1690526791.8103192,90,6.0
1690526791.9361632,95,-14.0
1690526792.373041,103,6.0
1690526792.447893,106,16.0
1690526792.4726121,107,0.0
1690526792.6488068,114,20.0
1690526792.725226,117,2.0
1690526792.775572,119,0.0
1690526792.800883,120,6.0
1690526792.826366,121,-4.0
1690526792.928277,125,12.0
1690526792.95343,126,2.0
1690526792.978524,127,10.0
1690526793.054755,130,12.0
1690526793.07977,131,10.0
1690526793.155759,134,6.0
1690526793.259022,138,12.0
1690526793.309763,140,4.0
1690526793.361452,142,12.0
1690526793.3888042,143,4.0
1690526793.414473,144,14.0
1690526793.440917,145,10.0
1690526793.5444102,149,22.0
1690526793.59533,151,30.0
1690526793.673032,154,16.0
1690526793.698553,155,10.0
1690526793.724463,156,16.0
1690526793.7755651,158,40.0
1690526793.8005729,159,32.0
1690526793.8264399,160,14.0
1690526793.902904,163,8.0
1690526793.953506,165,4.0
1690526793.9781382,166,30.0
1690526794.029496,168,24.0
1690526794.055244,169,30.0
1690526794.1318521,172,0.0
1690526794.258111,177,12.0
1690526794.282658,178,16.0
1690526794.3082,179,14.0
1690526794.358733,181,24.0
1690526794.383849,182,16.0
1690526794.434895,184,14.0
1690526794.4859378,186,12.0
1690526794.5118778,187,20.0
1690526794.538286,188,20.0
1690526794.563284,189,8.0
1690526794.614026,191,22.0
1690526794.639668,192,14.0
1690526794.817236,199,24.0
1690526795.1754398,203,22.0
1690526795.291113,207,48.0
1690526795.3182988,208,18.0
1690526795.345101,209,24.0
1690526795.4546292,213,28.0
1690526795.555687,216,18.0
1690526795.637547,219,22.0
1690526795.663886,220,34.0
1690526795.743181,223,30.0
1690526795.768973,224,22.0
1690526795.829597,226,32.0
1690526795.883797,227,20.0
1690526795.910583,228,20.0
1690526795.9631062,230,30.0
1690526795.988875,231,10.0
1690526796.0407622,233,30.0
1690526796.066625,234,24.0
1690526796.092404,235,36.0
1690526796.175122,238,22.0
1690526796.258657,241,26.0
1690526796.3928142,246,22.0
1690526796.444984,248,10.0
1690526796.495358,250,18.0
1690526796.521646,251,18.0
1690526796.6503758,256,36.0
1690526796.7267451,259,30.0
1690526796.7526212,260,24.0
1690526796.777925,261,22.0
1690526796.8036082,262,30.0
1690526796.8558578,264,40.0
1690526796.9591942,268,44.0
1690526797.008831,270,42.0
1690526797.059996,272,28.0
1690526797.1121159,274,20.0
1690526797.238069,279,26.0
1690526797.289691,281,18.0
1690526797.391808,285,28.0
1690526797.520007,290,20.0
1690526797.5709949,292,28.0
1690526797.596608,293,40.0
1690526797.674622,296,26.0
1690526797.724908,298,28.0
1690526797.74977,299,36.0
1690526798.009624,300,36.0
1690526798.061279,302,36.0
1690526798.086585,303,28.0
1690526798.112745,304,32.0
1690526798.2142239,308,-8.0
1690526798.239488,309,26.0
1690526798.289803,311,28.0
1690526798.364418,314,30.0
1690526798.4644532,318,18.0
1690526798.489216,319,32.0
1690526798.515588,320,32.0
1690526798.541022,321,38.0
1690526798.591773,323,24.0
1690526798.668114,326,44.0
1690526798.69293,327,34.0
1690526798.7182798,328,56.0
1690526798.793792,331,16.0
1690526798.819247,332,26.0
1690526798.870286,334,38.0
1690526799.022756,340,26.0
1690526799.074529,342,36.0
1690526799.1520178,345,24.0
1690526799.1771278,346,20.0
1690526799.228099,348,30.0
1690526799.253243,349,34.0
1690526799.379422,354,24.0
1690526799.4045172,355,24.0
1690526799.455689,357,48.0
1690526799.507187,359,36.0
1690526799.532979,360,22.0
1690526799.5587149,361,12.0
1690526799.63642,364,34.0
1690526799.662066,365,38.0
1690526799.7372491,368,30.0
1690526799.762378,369,30.0
