Wall time,Step,Value
1690526626.536709,6,-14.0
1690526626.562649,7,-4.0
1690526626.6639931,11,-4.0
1690526626.689455,12,8.0
1690526626.73963,14,10.0
1690526626.764992,15,8.0
1690526626.789999,16,4.0
1690526626.840014,18,4.0
1690526626.8648472,19,6.0
1690526626.8897438,20,-18.0
1690526626.915425,21,8.0
1690526627.016727,25,14.0
1690526627.24364,34,16.0
1690526627.2697768,35,6.0
1690526627.320873,37,26.0
1690526627.394828,40,-2.0
1690526627.4198349,41,10.0
1690526627.4705868,43,0.0
1690526627.5208142,45,20.0
1690526627.546185,46,-14.0
1690526627.5967429,48,-10.0
1690526627.647446,50,6.0
1690526627.672132,51,0.0
1690526627.748662,54,2.0
1690526627.774028,55,2.0
1690526627.799198,56,28.0
1690526627.824424,57,16.0
1690526627.849539,58,8.0
1690526627.923967,61,16.0
1690526627.9489868,62,14.0
1690526627.998549,64,6.0
1690526628.049216,66,20.0
1690526628.074917,67,16.0
1690526628.100372,68,4.0
1690526628.124982,69,10.0
1690526628.200505,72,-2.0
1690526628.224967,73,14.0
1690526628.2501671,74,20.0
1690526628.274643,75,-4.0
1690526628.3251462,77,4.0
1690526628.400384,80,2.0
1690526628.525575,85,16.0
1690526628.551082,86,-10.0
1690526628.57626,87,2.0
1690526628.6008031,88,6.0
1690526628.625599,89,14.0
1690526628.65029,90,30.0
1690526628.777245,95,22.0
1690526629.217688,103,16.0
1690526629.293025,106,10.0
1690526629.31763,107,14.0
1690526629.494258,114,0.0
1690526629.5680141,117,6.0
1690526629.617342,119,20.0
1690526629.6416142,120,12.0
1690526629.6678889,121,-2.0
1690526629.7684,125,14.0
1690526629.7935529,126,4.0
1690526629.819354,127,4.0
1690526629.894231,130,10.0
1690526629.9191191,131,20.0
1690526629.994485,134,18.0
1690526630.093894,138,-2.0
1690526630.144301,140,26.0
1690526630.19507,142,30.0
1690526630.2203672,143,14.0
1690526630.245569,144,-10.0
1690526630.270962,145,22.0
1690526630.37708,149,10.0
1690526630.429621,151,4.0
1690526630.507692,154,22.0
1690526630.533302,155,20.0
1690526630.559029,156,12.0
1690526630.610795,158,20.0
1690526630.643389,159,14.0
1690526630.673485,160,-18.0
1690526630.752408,163,8.0
1690526630.8045282,165,22.0
1690526630.832535,166,14.0
1690526630.886147,168,8.0
1690526630.9131598,169,30.0
1690526631.0351648,172,16.0
1690526631.171159,177,40.0
1690526631.197033,178,16.0
1690526631.224423,179,22.0
1690526631.289966,181,32.0
1690526631.319875,182,2.0
1690526631.3742342,184,4.0
1690526631.4291918,186,28.0
1690526631.458583,187,18.0
1690526631.484576,188,36.0
1690526631.509632,189,20.0
1690526631.561715,191,28.0
1690526631.587111,192,18.0
