Wall time,Step,Value
1690527147.3879611,6,-34.0
1690527147.413582,7,-10.0
1690527147.515039,11,-25.0
1690527147.5400991,12,-40.0
1690527147.5924852,14,-13.0
1690527147.618442,15,-13.0
1690527147.642569,16,-25.0
1690527147.692707,18,-16.0
1690527147.7186182,19,-22.0
1690527147.743072,20,-37.0
1690527147.7685812,21,-22.0
1690527147.869658,25,-25.0
1690527148.0955079,34,-16.0
1690527148.1211,35,-19.0
1690527148.1714299,37,-37.0
1690527148.246757,40,-31.0
1690527148.271961,41,-13.0
1690527148.3230982,43,-16.0
1690527148.373594,45,-37.0
1690527148.398914,46,-25.0
1690527148.448682,48,-10.0
1690527148.499259,50,-22.0
1690527148.523903,51,-19.0
1690527148.597208,54,-31.0
1690527148.6221921,55,-19.0
1690527148.647274,56,-10.0
1690527148.672085,57,-13.0
1690527148.696734,58,-19.0
1690527148.772497,61,-22.0
1690527148.79813,62,-22.0
1690527148.848418,64,-16.0
1690527148.898314,66,-22.0
1690527148.923475,67,-13.0
1690527148.948208,68,-16.0
1690527148.972683,69,-16.0
1690527149.0487401,72,-19.0
1690527149.073233,73,-10.0
1690527149.098088,74,-16.0
1690527149.1229608,75,-13.0
1690527149.1732512,77,-13.0
1690527149.249063,80,-37.0
1690527149.373007,85,-4.0
1690527149.3983,86,-16.0
1690527149.423888,87,-10.0
1690527149.448632,88,-4.0
1690527149.473918,89,-22.0
1690527149.498834,90,-16.0
1690527149.624249,95,-25.0
1690527150.06283,103,-19.0
1690527150.138319,106,-19.0
1690527150.162975,107,-13.0
1690527150.3417861,114,-10.0
1690527150.417404,117,-22.0
1690527150.4678988,119,-22.0
1690527150.493396,120,-7.0
1690527150.518475,121,-28.0
1690527150.6189802,125,-16.0
1690527150.644379,126,-1.0
1690527150.669867,127,-7.0
1690527150.745932,130,-7.0
1690527150.77109,131,-10.0
1690527150.846084,134,-28.0
1690527150.9461608,138,-7.0
1690527150.995544,140,-10.0
1690527151.0457149,142,-10.0
1690527151.071313,143,-7.0
1690527151.0963662,144,-19.0
1690527151.12209,145,-10.0
1690527151.222631,149,-13.0
1690527151.2733161,151,-10.0
1690527151.3475149,154,-16.0
1690527151.372949,155,-16.0
1690527151.3980002,156,-22.0
1690527151.448777,158,-19.0
1690527151.474112,159,-7.0
1690527151.498964,160,-19.0
1690527151.5741508,163,5.0
1690527151.624513,165,-16.0
1690527151.650114,166,-19.0
1690527151.699317,168,-13.0
1690527151.724651,169,-25.0
1690527151.801168,172,-4.0
1690527151.928427,177,2.0
1690527151.954153,178,-7.0
1690527151.979477,179,-16.0
1690527152.029836,181,-10.0
1690527152.05465,182,-19.0
1690527152.1050088,184,-19.0
1690527152.156022,186,-22.0
1690527152.181952,187,-16.0
1690527152.207791,188,-16.0
1690527152.234415,189,-7.0
1690527152.28812,191,-22.0
1690527152.314991,192,-13.0
1690527152.501718,199,2.0
1690527152.852257,203,-13.0
1690527152.955446,207,-10.0
1690527152.980709,208,2.0
1690527153.006148,209,-16.0
1690527153.107028,213,-4.0
1690527153.182921,216,-1.0
1690527153.258263,219,-7.0
1690527153.28321,220,-7.0
1690527153.3586931,223,-13.0
1690527153.384199,224,-1.0
1690527153.435352,226,11.0
1690527153.460667,227,8.0
1690527153.4863,228,2.0
1690527153.537148,230,-4.0
1690527153.5617669,231,-16.0
1690527153.613059,233,-7.0
1690527153.637899,234,-4.0
1690527153.663177,235,-7.0
1690527153.739294,238,-4.0
1690527153.815969,241,-1.0
1690527153.9441721,246,-4.0
1690527153.994503,248,2.0
1690527154.044956,250,-7.0
1690527154.070226,251,-13.0
1690527154.197292,256,-10.0
1690527154.2731142,259,-7.0
1690527154.299045,260,-7.0
1690527154.324546,261,-7.0
1690527154.3499699,262,-7.0
