Wall time,Step,Value
1690526709.660028,6,4.0
1690526709.685417,7,0.0
1690526709.7867131,11,0.0
1690526709.8115358,12,-2.0
1690526709.862014,14,12.0
1690526709.8879302,15,6.0
1690526709.912554,16,8.0
1690526709.962152,18,2.0
1690526709.987972,19,10.0
1690526710.013886,20,8.0
1690526710.040294,21,0.0
1690526710.145252,25,0.0
1690526710.3867588,34,-18.0
1690526710.413424,35,8.0
1690526710.4661582,37,-8.0
1690526710.545439,40,10.0
1690526710.5716171,41,26.0
1690526710.6249442,43,0.0
1690526710.676887,45,-12.0
1690526710.70225,46,4.0
1690526710.752955,48,2.0
1690526710.8026161,50,8.0
1690526710.8281548,51,14.0
1690526710.902941,54,14.0
1690526710.9277701,55,6.0
1690526710.952679,56,18.0
1690526710.978534,57,-4.0
1690526711.0036612,58,12.0
1690526711.078361,61,-4.0
1690526711.104018,62,2.0
1690526711.153879,64,-16.0
1690526711.203995,66,4.0
1690526711.228721,67,0.0
1690526711.253829,68,14.0
1690526711.2797241,69,26.0
1690526711.355168,72,6.0
1690526711.380249,73,20.0
1690526711.405092,74,10.0
1690526711.4299421,75,-2.0
1690526711.479371,77,6.0
1690526711.553716,80,4.0
1690526711.67925,85,22.0
1690526711.705235,86,-22.0
1690526711.7306619,87,4.0
1690526711.7557728,88,10.0
1690526711.781728,89,2.0
1690526711.807243,90,18.0
1690526711.932961,95,16.0
1690526712.372302,103,8.0
1690526712.448838,106,26.0
1690526712.474538,107,-2.0
1690526712.651558,114,26.0
1690526712.7273118,117,30.0
1690526712.778038,119,14.0
1690526712.8035479,120,14.0
1690526712.8289201,121,18.0
1690526712.930433,125,-10.0
1690526712.955616,126,-2.0
1690526712.9806101,127,18.0
1690526713.0555289,130,30.0
1690526713.080812,131,0.0
1690526713.156846,134,22.0
1690526713.259532,138,8.0
1690526713.3105001,140,10.0
1690526713.3623471,142,20.0
1690526713.3873432,143,10.0
1690526713.4126022,144,4.0
1690526713.436929,145,20.0
1690526713.537493,149,4.0
1690526713.587428,151,24.0
1690526713.663031,154,22.0
1690526713.6882188,155,18.0
1690526713.713388,156,16.0
1690526713.763818,158,18.0
1690526713.788935,159,20.0
1690526713.8147829,160,20.0
1690526713.8917272,163,10.0
1690526713.942639,165,26.0
1690526713.968182,166,18.0
1690526714.0180962,168,-4.0
1690526714.043104,169,-2.0
1690526714.118815,172,16.0
1690526714.244892,177,14.0
1690526714.2697861,178,-2.0
1690526714.2956202,179,24.0
1690526714.346986,181,18.0
1690526714.372441,182,16.0
1690526714.423226,184,10.0
1690526714.473384,186,4.0
1690526714.499,187,10.0
1690526714.524663,188,24.0
1690526714.549557,189,30.0
1690526714.599285,191,2.0
1690526714.624181,192,10.0
1690526714.801345,199,16.0
1690526715.1350558,203,26.0
1690526715.2355578,207,26.0
1690526715.2603672,208,8.0
1690526715.2860842,209,20.0
1690526715.386701,213,20.0
1690526715.463233,216,28.0
1690526715.538145,219,24.0
1690526715.563385,220,10.0
1690526715.641191,223,22.0
1690526715.667341,224,14.0
1690526715.721449,226,38.0
1690526715.749014,227,28.0
1690526715.775789,228,34.0
1690526715.832675,230,30.0
1690526715.861045,231,38.0
1690526715.916786,233,28.0
1690526715.944457,234,54.0
1690526715.9712262,235,20.0
1690526716.054594,238,24.0
1690526716.1471202,241,8.0
1690526716.295475,246,-8.0
1690526716.3490958,248,36.0
1690526716.400553,250,30.0
1690526716.430486,251,16.0
1690526716.665739,256,36.0
1690526716.78396,259,22.0
1690526716.813044,260,32.0
1690526716.842667,261,36.0
1690526716.8840802,262,28.0
1690526716.9663239,264,32.0
1690526717.076123,268,34.0
1690526717.130432,270,22.0
1690526717.183454,272,10.0
1690526717.235561,274,26.0
1690526717.364843,279,36.0
1690526717.414942,281,26.0
1690526717.5180118,285,18.0
1690526717.648156,290,22.0
1690526717.698592,292,26.0
1690526717.723903,293,24.0
1690526717.799218,296,36.0
1690526717.849654,298,40.0
1690526717.875312,299,30.0
1690526718.133588,300,36.0
1690526718.1867461,302,32.0
1690526718.21326,303,14.0
1690526718.24033,304,24.0
1690526718.345649,308,44.0
1690526718.3711119,309,30.0
1690526718.4214458,311,36.0
1690526718.498571,314,28.0
1690526718.6009989,318,32.0
1690526718.627071,319,28.0
1690526718.653093,320,36.0
1690526718.679196,321,30.0
1690526718.7314079,323,28.0
1690526718.8079271,326,34.0
1690526718.833292,327,40.0
1690526718.8586612,328,46.0
1690526718.9345238,331,34.0
1690526718.9596002,332,38.0
1690526719.0106208,334,36.0
1690526719.163892,340,42.0
1690526719.21418,342,24.0
1690526719.2909088,345,28.0
1690526719.3158772,346,28.0
1690526719.368065,348,46.0
1690526719.3947468,349,42.0
1690526719.524224,354,30.0
1690526719.5498722,355,24.0
1690526719.601821,357,46.0
1690526719.652674,359,36.0
1690526719.678645,360,40.0
1690526719.7048588,361,42.0
1690526719.783796,364,36.0
1690526719.8094258,365,34.0
1690526719.887616,368,42.0
1690526719.914473,369,52.0
1690526719.967307,371,20.0
1690526719.9941912,372,32.0
1690526720.047252,374,40.0
1690526720.151604,378,46.0
1690526720.1770828,379,50.0
1690526720.2031019,380,42.0
1690526720.254747,382,40.0
1690526720.2803268,383,40.0
1690526720.355984,386,36.0
1690526720.381034,387,32.0
1690526720.407456,388,50.0
1690526720.432819,389,42.0
1690526720.4841821,391,44.0
1690526720.509351,392,32.0
1690526720.535177,393,30.0
1690526720.5604658,394,16.0
1690526721.021728,403,40.0
1690526721.047013,404,38.0
1690526721.0982661,406,34.0
1690526721.177738,409,42.0
1690526721.362725,416,48.0
1690526721.389736,417,32.0
1690526721.4967492,421,50.0
1690526721.523535,422,44.0
1690526721.550681,423,34.0
1690526721.605461,425,48.0
1690526721.6593761,427,50.0
1690526721.766173,431,28.0
1690526722.009887,440,56.0
1690526722.035867,441,32.0
1690526722.061713,442,36.0
1690526722.08688,443,52.0
1690526722.138512,445,42.0
1690526722.164549,446,18.0
1690526722.2408352,449,42.0
1690526722.317662,452,40.0
1690526722.494283,459,46.0
1690526722.5198631,460,48.0
1690526722.545418,461,52.0
1690526722.570854,462,48.0
1690526722.62127,464,54.0
1690526722.6470761,465,48.0
1690526722.672461,466,46.0
1690526722.723893,468,44.0
1690526722.749503,469,60.0
1690526722.7749498,470,50.0
1690526722.826317,472,42.0
1690526722.87763,474,52.0
1690526722.9035451,475,40.0
1690526723.005035,479,38.0
1690526723.184028,486,52.0
1690526723.2609978,489,38.0
1690526723.28655,490,62.0
1690526723.3370838,492,54.0
1690526723.387816,494,44.0
1690526723.464021,497,46.0
1690526723.977182,508,36.0
1690526724.05377,511,42.0
1690526724.07979,512,52.0
1690526724.105464,513,44.0
1690526724.156142,515,54.0
1690526724.207434,517,48.0
1690526724.233303,518,60.0
1690526724.284579,520,60.0
1690526724.41261,525,46.0
1690526724.4383008,526,52.0
1690526724.591532,532,52.0
1690526724.643046,534,46.0
1690526724.668162,535,46.0
1690526724.693024,536,48.0
1690526724.718571,537,42.0
1690526724.743702,538,66.0
1690526724.7696981,539,34.0
1690526724.795071,540,54.0
1690526724.8208902,541,74.0
1690526724.8464692,542,44.0
1690526724.871257,543,46.0
1690526724.922087,545,44.0
1690526724.997803,548,50.0
1690526725.023096,549,58.0
1690526725.049131,550,44.0
1690526725.100248,552,46.0
1690526725.201903,556,38.0
1690526725.2530391,558,50.0
1690526725.304686,560,60.0
1690526725.407938,564,54.0
1690526725.432847,565,56.0
1690526725.457776,566,52.0
1690526725.508461,568,52.0
1690526725.560006,570,54.0
1690526725.612375,572,68.0
1690526725.664557,574,58.0
1690526725.69037,575,60.0
1690526725.766667,578,54.0
1690526725.817515,580,46.0
1690526725.8431108,581,50.0
1690526725.8688772,582,84.0
1690526725.894818,583,58.0
1690526725.920618,584,54.0
1690526725.945272,585,60.0
1690526725.995436,587,50.0
1690526726.020989,588,52.0
1690526726.149054,593,54.0
1690526726.1742349,594,66.0
1690526726.225815,596,58.0
1690526726.250804,597,72.0
1690526726.276354,598,50.0
1690526726.5857558,601,60.0
1690526726.637983,603,60.0
1690526726.6895092,605,48.0
1690526726.739809,607,56.0
1690526726.791946,609,50.0
1690526726.8435972,611,66.0
1690526726.868715,612,54.0
1690526726.893971,613,62.0
1690526726.9704268,616,60.0
1690526727.079515,620,62.0
1690526727.107326,621,60.0
1690526727.161013,623,48.0
1690526727.187593,624,62.0
1690526727.240447,626,60.0
1690526727.351539,630,62.0
1690526727.486621,635,64.0
1690526727.67746,642,70.0
1690526727.7026932,643,54.0
1690526727.753866,645,72.0
1690526727.780232,646,70.0
1690526727.805891,647,74.0
1690526727.8313549,648,68.0
1690526727.85678,649,80.0
1690526727.882261,650,66.0
1690526727.934701,652,72.0
1690526727.9606268,653,70.0
1690526728.0634701,657,76.0
1690526728.089205,658,72.0
1690526728.1409018,660,66.0
1690526728.191927,662,68.0
1690526728.2688498,665,72.0
