Wall time,Step,Value
1690526969.458248,6,0.0
1690526969.483184,7,6.0
1690526969.5837219,11,6.0
1690526969.609271,12,8.0
1690526969.659341,14,4.0
1690526969.684327,15,-2.0
1690526969.7093172,16,0.0
1690526969.760193,18,-8.0
1690526969.785114,19,12.0
1690526969.810242,20,14.0
1690526969.834916,21,0.0
1690526969.936513,25,8.0
1690526970.162891,34,0.0
1690526970.187932,35,6.0
1690526970.2381282,37,12.0
1690526970.314462,40,-4.0
1690526970.340492,41,0.0
1690526970.390087,43,-4.0
1690526970.440203,45,0.0
1690526970.46563,46,-4.0
1690526970.515998,48,0.0
1690526970.5654788,50,6.0
1690526970.590394,51,-6.0
1690526970.665621,54,18.0
1690526970.690996,55,2.0
1690526970.71616,56,2.0
1690526970.741058,57,8.0
1690526970.7664251,58,0.0
1690526970.842413,61,34.0
1690526970.867156,62,-2.0
1690526970.9178529,64,8.0
1690526970.975851,66,-8.0
1690526971.003468,67,16.0
1690526971.030011,68,-2.0
1690526971.0576901,69,2.0
1690526971.138965,72,-8.0
1690526971.16574,73,-4.0
1690526971.193283,74,-16.0
1690526971.2214231,75,16.0
1690526971.274709,77,14.0
1690526971.355186,80,-12.0
1690526971.488566,85,20.0
1690526971.5149188,86,18.0
1690526971.541986,87,4.0
1690526971.569707,88,12.0
1690526971.596339,89,4.0
1690526971.621175,90,-2.0
1690526971.747164,95,20.0
1690526972.187026,103,4.0
1690526972.263753,106,2.0
1690526972.2888188,107,12.0
1690526972.469387,114,22.0
1690526972.544914,117,28.0
1690526972.5951302,119,-18.0
1690526972.621084,120,24.0
1690526972.646225,121,22.0
1690526972.748047,125,22.0
1690526972.7735949,126,12.0
1690526972.798456,127,16.0
1690526972.874113,130,4.0
1690526972.899304,131,28.0
1690526972.975701,134,10.0
1690526973.079818,138,8.0
1690526973.1320908,140,10.0
1690526973.184285,142,24.0
1690526973.211383,143,32.0
1690526973.2374442,144,16.0
1690526973.264292,145,24.0
1690526973.36706,149,20.0
1690526973.4177668,151,18.0
1690526973.496363,154,-6.0
1690526973.528969,155,4.0
1690526973.556654,156,-6.0
1690526973.609622,158,16.0
1690526973.6353579,159,26.0
1690526973.660639,160,28.0
1690526973.7375271,163,28.0
1690526973.787895,165,30.0
1690526973.843169,166,18.0
1690526973.915877,168,36.0
1690526973.9418921,169,10.0
1690526974.017175,172,30.0
1690526974.148798,177,6.0
1690526974.17503,178,12.0
1690526974.201741,179,10.0
1690526974.2546859,181,4.0
1690526974.280805,182,12.0
1690526974.33094,184,14.0
1690526974.3831081,186,14.0
1690526974.40896,187,-2.0
1690526974.435067,188,34.0
1690526974.4606369,189,20.0
1690526974.5121322,191,12.0
1690526974.537813,192,16.0
1690526974.715698,199,12.0
1690526975.050544,203,12.0
1690526975.152183,207,12.0
1690526975.177451,208,8.0
1690526975.202796,209,10.0
1690526975.303937,213,30.0
1690526975.3811321,216,36.0
1690526975.4560618,219,24.0
1690526975.4811578,220,6.0
1690526975.557577,223,32.0
1690526975.583266,224,28.0
1690526975.63452,226,22.0
1690526975.6597362,227,20.0
1690526975.68433,228,22.0
1690526975.7350998,230,28.0
