Wall time,Step,Value
1690526878.691909,6,-2.0
1690526878.717809,7,4.0
1690526878.820462,11,6.0
1690526878.8460958,12,2.0
1690526878.897527,14,-4.0
1690526878.922803,15,2.0
1690526878.948929,16,-24.0
1690526879.000103,18,-4.0
1690526879.025478,19,12.0
1690526879.0508869,20,-2.0
1690526879.076211,21,-12.0
1690526879.175804,25,10.0
1690526879.403564,34,-6.0
1690526879.429429,35,-20.0
1690526879.4798899,37,-6.0
1690526879.555491,40,-14.0
1690526879.580702,41,0.0
1690526879.630487,43,-12.0
1690526879.680532,45,6.0
1690526879.705747,46,6.0
1690526879.756712,48,14.0
1690526879.80654,50,-2.0
1690526879.831487,51,-4.0
1690526879.906612,54,12.0
1690526879.9317381,55,-6.0
1690526879.956971,56,-4.0
1690526879.982831,57,4.0
1690526880.008967,58,12.0
1690526880.088667,61,12.0
1690526880.115458,62,-4.0
1690526880.1683252,64,-8.0
1690526880.221833,66,4.0
1690526880.248806,67,12.0
1690526880.275433,68,22.0
1690526880.303788,69,14.0
1690526880.38474,72,6.0
1690526880.411684,73,6.0
1690526880.4385438,74,6.0
1690526880.464641,75,2.0
1690526880.517368,77,4.0
1690526880.597872,80,22.0
1690526880.727568,85,12.0
1690526880.7536588,86,16.0
1690526880.779007,87,14.0
1690526880.805248,88,10.0
1690526880.831507,89,4.0
1690526880.856883,90,14.0
1690526880.983468,95,24.0
1690526881.4274602,103,4.0
1690526881.503495,106,8.0
1690526881.528961,107,4.0
1690526881.709564,114,0.0
1690526881.790306,117,18.0
1690526881.842401,119,6.0
1690526881.870666,120,10.0
1690526881.897109,121,12.0
1690526882.002204,125,20.0
1690526882.029218,126,14.0
1690526882.05515,127,12.0
1690526882.140309,130,12.0
1690526882.166872,131,0.0
1690526882.24385,134,4.0
1690526882.354455,138,26.0
1690526882.411339,140,6.0
1690526882.4631412,142,18.0
1690526882.4886441,143,-4.0
1690526882.513949,144,26.0
1690526882.539693,145,8.0
1690526882.666328,149,8.0
1690526882.7497401,151,-4.0
1690526882.8267698,154,8.0
1690526882.851817,155,12.0
1690526882.876929,156,18.0
1690526882.928246,158,22.0
1690526882.955038,159,12.0
1690526882.981689,160,2.0
1690526883.061752,163,12.0
1690526883.1130612,165,24.0
1690526883.1380951,166,14.0
1690526883.188619,168,36.0
1690526883.214675,169,16.0
1690526883.293893,172,22.0
1690526883.423896,177,30.0
1690526883.449271,178,8.0
1690526883.475389,179,6.0
1690526883.527169,181,16.0
1690526883.5529642,182,10.0
1690526883.6042612,184,22.0
1690526883.6554308,186,18.0
1690526883.680821,187,14.0
1690526883.706049,188,4.0
1690526883.732092,189,16.0
1690526883.7829602,191,18.0
1690526883.808939,192,14.0
1690526883.988209,199,12.0
1690526884.3301718,203,42.0
1690526884.433706,207,4.0
1690526884.459641,208,14.0
1690526884.485423,209,30.0
1690526884.5868711,213,18.0
1690526884.664311,216,18.0
1690526884.740879,219,26.0
1690526884.766052,220,30.0
1690526884.8440351,223,18.0
1690526884.869616,224,14.0
1690526884.922268,226,32.0
1690526884.948664,227,4.0
1690526884.973515,228,34.0
1690526885.0247848,230,10.0
1690526885.050984,231,32.0
1690526885.101839,233,22.0
1690526885.127251,234,30.0
1690526885.153488,235,6.0
1690526885.2300649,238,16.0
1690526885.3066611,241,8.0
1690526885.4356349,246,14.0
1690526885.487627,248,24.0
1690526885.53926,250,18.0
1690526885.5653372,251,30.0
1690526885.695497,256,2.0
1690526885.775646,259,30.0
1690526885.802371,260,34.0
1690526885.8291168,261,16.0
1690526885.8564281,262,32.0
1690526885.9114711,264,18.0
1690526886.021939,268,28.0
1690526886.0768058,270,24.0
1690526886.1294851,272,18.0
1690526886.183146,274,24.0
1690526886.320427,279,40.0
1690526886.372628,281,16.0
1690526886.477567,285,20.0
1690526886.6078389,290,30.0
1690526886.659849,292,36.0
1690526886.685235,293,24.0
1690526886.762592,296,42.0
1690526886.81427,298,32.0
1690526886.840064,299,30.0
1690526887.101963,300,16.0
1690526887.154463,302,20.0
1690526887.180375,303,34.0
1690526887.2058601,304,34.0
1690526887.31064,308,26.0
1690526887.3366258,309,28.0
1690526887.388627,311,40.0
1690526887.4656131,314,20.0
1690526887.569331,318,42.0
1690526887.595108,319,38.0
1690526887.6210299,320,38.0
1690526887.6465752,321,22.0
1690526887.697628,323,36.0
1690526887.774307,326,12.0
1690526887.8001668,327,34.0
1690526887.8266098,328,18.0
1690526887.904982,331,44.0
1690526887.9309042,332,34.0
1690526887.982947,334,30.0
1690526888.137953,340,14.0
1690526888.18978,342,50.0
1690526888.2657652,345,42.0
1690526888.291442,346,42.0
1690526888.344346,348,38.0
1690526888.3700101,349,26.0
1690526888.4993799,354,34.0
1690526888.524983,355,44.0
1690526888.576978,357,50.0
1690526888.628504,359,42.0
1690526888.653146,360,20.0
1690526888.6791492,361,32.0
1690526888.7572439,364,38.0
1690526888.7829309,365,44.0
1690526888.860926,368,50.0
1690526888.887033,369,20.0
1690526888.9388769,371,36.0
1690526888.964811,372,42.0
1690526889.016105,374,32.0
1690526889.118431,378,38.0
1690526889.1451972,379,36.0
1690526889.170636,380,18.0
1690526889.221913,382,34.0
1690526889.2476008,383,32.0
1690526889.325231,386,44.0
1690526889.350865,387,36.0
1690526889.376378,388,32.0
1690526889.402525,389,20.0
1690526889.454187,391,30.0
1690526889.480324,392,48.0
1690526889.505954,393,34.0
1690526889.532248,394,44.0
1690526890.002623,403,36.0
1690526890.028984,404,44.0
1690526890.081589,406,32.0
1690526890.1606138,409,54.0
1690526890.3423822,416,28.0
1690526890.3684149,417,22.0
1690526890.471772,421,30.0
1690526890.4981718,422,38.0
1690526890.523422,423,36.0
1690526890.575556,425,36.0
1690526890.6267688,427,48.0
1690526890.730477,431,62.0
1690526890.9830558,440,44.0
1690526891.009129,441,38.0
1690526891.034712,442,48.0
1690526891.0605068,443,40.0
1690526891.112158,445,50.0
1690526891.1377122,446,42.0
1690526891.2264729,449,50.0
1690526891.305043,452,48.0
1690526891.497514,459,44.0
1690526891.533607,460,46.0
