Wall time,Step,Value
1690527659.8241122,6,-58.0
1690527659.8413792,7,-58.0
1690527659.908431,11,-73.0
1690527659.9265962,12,-61.0
1690527659.960686,14,-67.0
1690527659.977608,15,-64.0
1690527659.9946399,16,-67.0
1690527660.028013,18,-76.0
1690527660.044994,19,-55.0
1690527660.062058,20,-58.0
1690527660.078781,21,-58.0
1690527660.145108,25,-73.0
1690527660.292246,34,-58.0
1690527660.3091898,35,-52.0
1690527660.341726,37,-58.0
1690527660.392329,40,-70.0
1690527660.408491,41,-76.0
1690527660.441191,43,-55.0
1690527660.475221,45,-49.0
1690527660.491636,46,-61.0
1690527660.5242481,48,-70.0
1690527660.557889,50,-55.0
1690527660.574544,51,-43.0
1690527660.623829,54,-49.0
1690527660.64031,55,-61.0
1690527660.6568162,56,-67.0
1690527660.672811,57,-40.0
1690527660.6886442,58,-49.0
1690527660.736593,61,-61.0
1690527660.752975,62,-67.0
1690527660.785495,64,-55.0
1690527660.818244,66,-67.0
1690527660.835079,67,-43.0
1690527660.851399,68,-49.0
1690527660.8678458,69,-46.0
1690527660.917249,72,-55.0
1690527660.933408,73,-67.0
1690527660.9501052,74,-52.0
1690527660.9662652,75,-64.0
1690527660.9994528,77,-43.0
1690527661.049002,80,-61.0
1690527661.130751,85,-61.0
1690527661.14719,86,-67.0
1690527661.162712,87,-40.0
1690527661.1790102,88,-52.0
1690527661.195065,89,-49.0
1690527661.2111669,90,-49.0
1690527661.292094,95,-46.0
1690527661.554996,103,-28.0
1690527661.603549,106,-49.0
1690527661.619643,107,-61.0
1690527661.731843,114,-55.0
1690527661.78033,117,-61.0
1690527661.814911,119,-55.0
1690527661.832554,120,-61.0
1690527661.849327,121,-55.0
1690527661.918981,125,-55.0
1690527661.936741,126,-55.0
1690527661.954987,127,-70.0
1690527662.00762,130,-46.0
1690527662.024683,131,-52.0
1690527662.0804522,134,-61.0
1690527662.1510642,138,-28.0
1690527662.186419,140,-55.0
1690527662.2212749,142,-58.0
1690527662.238274,143,-58.0
1690527662.2555342,144,-25.0
1690527662.2732182,145,-43.0
1690527662.3428779,149,-46.0
1690527662.3779688,151,-34.0
1690527662.431765,154,-52.0
1690527662.449161,155,-52.0
1690527662.467184,156,-55.0
1690527662.50123,158,-37.0
1690527662.517439,159,-28.0
1690527662.533338,160,-49.0
1690527662.5832388,163,-43.0
1690527662.615459,165,-46.0
1690527662.631697,166,-52.0
1690527662.664138,168,-46.0
1690527662.6804008,169,-28.0
1690527662.728865,172,-40.0
1690527662.809348,177,-34.0
1690527662.825415,178,-46.0
1690527662.84189,179,-55.0
1690527662.874431,181,-43.0
1690527662.891376,182,-52.0
1690527662.924924,184,-46.0
1690527662.95926,186,-49.0
1690527662.976793,187,-37.0
1690527662.9935281,188,-46.0
1690527663.01003,189,-58.0
1690527663.0436401,191,-37.0
1690527663.0610602,192,-37.0
1690527663.178328,199,-34.0
1690527663.3730419,203,-43.0
1690527663.4378839,207,-40.0
1690527663.453877,208,-37.0
1690527663.4736729,209,-34.0
1690527663.557268,213,-34.0
1690527663.6097438,216,-31.0
1690527663.6587882,219,-34.0
1690527663.674772,220,-37.0
1690527663.723756,223,-34.0
1690527663.7396438,224,-37.0
1690527663.77262,226,-34.0
1690527663.797648,227,-31.0
1690527663.890744,228,-46.0
1690527663.942632,230,-55.0
1690527663.95979,231,-40.0
1690527663.994105,233,-34.0
1690527664.010973,234,-25.0
1690527664.027624,235,-49.0
1690527664.0785742,238,-37.0
1690527664.13238,241,-43.0
1690527664.217679,246,-25.0
1690527664.25057,248,-31.0
1690527664.283623,250,-31.0
1690527664.300894,251,-46.0
1690527664.384028,256,-55.0
1690527664.4339468,259,-31.0
1690527664.450678,260,-37.0
