Wall time,Step,Value
1690527832.599811,6,-32.0
1690527832.617156,7,-54.0
1690527832.684144,11,-52.0
1690527832.701611,12,-42.0
1690527832.735498,14,-50.0
1690527832.752768,15,-50.0
1690527832.769464,16,-54.0
1690527832.802975,18,-38.0
1690527832.819895,19,-56.0
1690527832.837,20,-40.0
1690527832.854244,21,-54.0
1690527832.923114,25,-38.0
1690527833.075626,34,-46.0
1690527833.092435,35,-50.0
1690527833.1253572,37,-32.0
1690527833.17677,40,-38.0
1690527833.194193,41,-44.0
1690527833.228411,43,-54.0
1690527833.2614248,45,-44.0
1690527833.277807,46,-64.0
1690527833.3113532,48,-58.0
1690527833.344648,50,-36.0
1690527833.3612642,51,-48.0
1690527833.411328,54,-42.0
1690527833.427837,55,-44.0
1690527833.444552,56,-40.0
1690527833.4608908,57,-38.0
1690527833.477201,58,-42.0
1690527833.525909,61,-56.0
1690527833.542374,62,-36.0
1690527833.575211,64,-38.0
1690527833.6077251,66,-48.0
1690527833.6242402,67,-44.0
1690527833.641283,68,-42.0
1690527833.65789,69,-36.0
1690527833.7080472,72,-48.0
1690527833.7245219,73,-34.0
1690527833.7412539,74,-36.0
1690527833.757597,75,-70.0
1690527833.790931,77,-50.0
1690527833.840868,80,-46.0
1690527833.923636,85,-40.0
1690527833.9402492,86,-34.0
1690527833.956449,87,-52.0
1690527833.97332,88,-34.0
1690527833.990294,89,-46.0
1690527834.006808,90,-34.0
1690527834.090556,95,-40.0
1690527834.3587751,103,-30.0
1690527834.408857,106,-34.0
1690527834.425472,107,-44.0
1690527834.5441542,114,-58.0
1690527834.595293,117,-40.0
1690527834.62852,119,-36.0
1690527834.6456058,120,-44.0
1690527834.662526,121,-38.0
1690527834.7293,125,-50.0
1690527834.746838,126,-44.0
1690527834.7630148,127,-36.0
1690527834.8129401,130,-26.0
1690527834.829676,131,-34.0
1690527834.881959,134,-40.0
1690527834.948861,138,-44.0
1690527834.982097,140,-28.0
1690527835.0150442,142,-24.0
1690527835.031637,143,-42.0
1690527835.047463,144,-40.0
1690527835.064438,145,-32.0
1690527835.1297941,149,-54.0
1690527835.1623838,151,-36.0
1690527835.213492,154,-24.0
1690527835.229692,155,-34.0
1690527835.2463858,156,-36.0
1690527835.279815,158,-40.0
1690527835.296741,159,-8.0
1690527835.3126268,160,-52.0
1690527835.36268,163,-46.0
1690527835.3959339,165,-38.0
1690527835.411886,166,-32.0
1690527835.444664,168,-28.0
1690527835.461301,169,-28.0
1690527835.511588,172,-14.0
1690527835.5934222,177,-10.0
1690527835.609845,178,-30.0
1690527835.626368,179,-30.0
1690527835.65948,181,-26.0
1690527835.675412,182,-20.0
1690527835.707977,184,-24.0
1690527835.7412648,186,-24.0
1690527835.758147,187,-38.0
1690527835.7745368,188,-26.0
1690527835.791233,189,-30.0
1690527835.825724,191,-46.0
1690527835.8423529,192,-22.0
1690527835.957143,199,-36.0
1690527836.15257,203,-28.0
1690527836.218752,207,-10.0
1690527836.235476,208,-36.0
1690527836.2521641,209,-26.0
1690527836.3174431,213,-18.0
1690527836.365791,216,-14.0
1690527836.415753,219,-38.0
1690527836.43223,220,-24.0
1690527836.4800482,223,-18.0
1690527836.4964778,224,-32.0
1690527836.529165,226,-22.0
1690527836.5452852,227,-18.0
1690527836.5612988,228,-28.0
1690527836.5943282,230,-30.0
1690527836.611053,231,-26.0
1690527836.6441338,233,-38.0
1690527836.661215,234,-24.0
1690527836.6773288,235,-28.0
1690527836.724992,238,-32.0
1690527836.774014,241,-30.0
1690527836.8576798,246,-12.0
1690527836.890367,248,-30.0
1690527836.923102,250,-40.0
1690527836.939567,251,-22.0
1690527837.020361,256,-42.0
1690527837.070078,259,-20.0
1690527837.086593,260,-40.0
1690527837.102667,261,-38.0
1690527837.1186838,262,-30.0
1690527837.150901,264,-38.0
1690527837.2157671,268,-24.0
1690527837.2478971,270,-16.0
1690527837.2800908,272,-34.0
1690527837.313747,274,-16.0
1690527837.398571,279,-32.0
1690527837.4332511,281,-4.0
1690527837.501602,285,-16.0
1690527837.58766,290,-14.0
1690527837.621889,292,-32.0
1690527837.639322,293,-10.0
1690527837.692728,296,-38.0
1690527837.726748,298,-32.0
1690527837.744722,299,-34.0
1690527837.8947442,300,-30.0
1690527837.928771,302,-34.0
1690527837.945345,303,-20.0
1690527837.96267,304,-28.0
1690527838.0305212,308,-16.0
1690527838.0476658,309,-34.0
1690527838.081145,311,-20.0
1690527838.132434,314,-10.0
1690527838.198783,318,-18.0
1690527838.215647,319,-20.0
1690527838.231605,320,-24.0
1690527838.248302,321,-20.0
1690527838.280483,323,-18.0
1690527838.330154,326,-4.0
1690527838.346455,327,-4.0
1690527838.363641,328,-2.0
1690527838.415024,331,4.0
1690527838.431652,332,-16.0
