Wall time,Step,Value
1690527728.613298,6,-67.0
1690527728.629834,7,-64.0
1690527728.6952739,11,-73.0
1690527728.7119098,12,-55.0
1690527728.74451,14,-46.0
1690527728.761448,15,-49.0
1690527728.777963,16,-67.0
1690527728.810216,18,-58.0
1690527728.826721,19,-76.0
1690527728.8433611,20,-61.0
1690527728.8594959,21,-70.0
1690527728.926059,25,-70.0
1690527729.073659,34,-64.0
1690527729.0899048,35,-49.0
1690527729.1226041,37,-43.0
1690527729.172262,40,-67.0
1690527729.189217,41,-46.0
1690527729.2219388,43,-67.0
1690527729.255019,45,-40.0
1690527729.2714791,46,-46.0
1690527729.304205,48,-70.0
1690527729.336834,50,-61.0
1690527729.353607,51,-67.0
1690527729.403243,54,-52.0
1690527729.419829,55,-52.0
1690527729.436,56,-70.0
1690527729.452472,57,-55.0
1690527729.469227,58,-58.0
1690527729.5178082,61,-52.0
1690527729.533995,62,-64.0
1690527729.566387,64,-49.0
1690527729.598419,66,-61.0
1690527729.614681,67,-43.0
1690527729.630347,68,-70.0
1690527729.6462688,69,-46.0
1690527729.695112,72,-55.0
1690527729.71102,73,-61.0
1690527729.72703,74,-49.0
1690527729.743514,75,-61.0
1690527729.777257,77,-61.0
1690527729.829414,80,-64.0
1690527729.9171,85,-58.0
1690527729.934366,86,-64.0
1690527729.9521332,87,-58.0
1690527729.969155,88,-70.0
1690527729.9865012,89,-61.0
1690527730.003927,90,-43.0
1690527730.092502,95,-49.0
1690527730.372689,103,-28.0
1690527730.4264882,106,-58.0
1690527730.443188,107,-40.0
1690527730.556094,114,-40.0
1690527730.605563,117,-43.0
1690527730.638711,119,-49.0
1690527730.654848,120,-34.0
1690527730.671793,121,-55.0
1690527730.737364,125,-61.0
1690527730.753623,126,-52.0
1690527730.770368,127,-58.0
1690527730.818966,130,-43.0
1690527730.834761,131,-46.0
1690527730.8838558,134,-55.0
1690527730.947964,138,-55.0
1690527730.9807858,140,-55.0
1690527731.013174,142,-58.0
1690527731.029599,143,-46.0
1690527731.046033,144,-55.0
1690527731.0619578,145,-67.0
1690527731.126244,149,-34.0
1690527731.158706,151,-46.0
1690527731.20768,154,-52.0
1690527731.223627,155,-55.0
1690527731.239785,156,-49.0
1690527731.271659,158,-52.0
1690527731.287379,159,-37.0
1690527731.3041658,160,-34.0
1690527731.3528068,163,-55.0
1690527731.385808,165,-31.0
1690527731.4018922,166,-40.0
1690527731.43394,168,-58.0
1690527731.450443,169,-46.0
1690527731.498682,172,-46.0
1690527731.5801558,177,-37.0
1690527731.596309,178,-40.0
1690527731.6128051,179,-58.0
1690527731.645376,181,-34.0
1690527731.661636,182,-40.0
1690527731.694462,184,-46.0
1690527731.727057,186,-43.0
1690527731.74295,187,-55.0
1690527731.759383,188,-49.0
1690527731.7757282,189,-55.0
1690527731.807727,191,-52.0
1690527731.8244622,192,-46.0
1690527731.9371898,199,-40.0
1690527732.131595,203,-31.0
1690527732.19679,207,-37.0
1690527732.213144,208,-34.0
1690527732.228232,209,-43.0
1690527732.29346,213,-40.0
1690527732.3416991,216,-34.0
1690527732.390503,219,-28.0
1690527732.406958,220,-43.0
1690527732.455723,223,-34.0
1690527732.471858,224,-49.0
1690527732.5042171,226,-49.0
1690527732.5204911,227,-40.0
1690527732.5367491,228,-52.0
1690527732.569325,230,-25.0
1690527732.585118,231,-46.0
1690527732.6172202,233,-34.0
1690527732.633489,234,-43.0
1690527732.650079,235,-40.0
1690527732.698967,238,-34.0
1690527732.746152,241,-28.0
1690527732.825873,246,-40.0
1690527732.857619,248,-28.0
1690527732.889338,250,-37.0
1690527732.905269,251,-49.0
1690527732.985333,256,-46.0
1690527733.033569,259,-49.0
1690527733.049459,260,-37.0
1690527733.06498,261,-37.0
1690527733.081002,262,-34.0
1690527733.113322,264,-34.0
1690527733.1764228,268,-13.0
1690527733.2087948,270,-28.0
1690527733.2402618,272,-28.0
1690527733.272537,274,-40.0
1690527733.352614,279,-25.0
1690527733.384736,281,-22.0
1690527733.448095,285,-19.0
1690527733.5272489,290,-34.0
1690527733.558986,292,-28.0
1690527733.574961,293,-31.0
1690527733.623265,296,-19.0
1690527733.654965,298,-34.0
1690527733.670511,299,-13.0
1690527733.8143418,300,-37.0
1690527733.847272,302,-22.0
1690527733.863703,303,-40.0
1690527733.879405,304,-25.0
1690527733.9437299,308,-46.0
1690527733.959899,309,-28.0
1690527733.991151,311,-28.0
1690527734.038877,314,-10.0
1690527734.103488,318,-16.0
1690527734.119445,319,-37.0
1690527734.135422,320,-13.0
1690527734.151791,321,-34.0
1690527734.183629,323,-25.0
1690527734.2300632,326,-43.0
1690527734.2468941,327,-31.0
1690527734.2629151,328,-37.0
1690527734.310868,331,-13.0
1690527734.326741,332,-4.0
1690527734.359484,334,-28.0
1690527734.4563231,340,-19.0
1690527734.487788,342,-28.0
1690527734.536056,345,-22.0
1690527734.5523908,346,-40.0
1690527734.583767,348,-22.0
1690527734.599711,349,-37.0
1690527734.677891,354,-22.0
1690527734.6934881,355,-19.0
1690527734.7249432,357,-13.0
1690527734.7571158,359,-19.0
1690527734.7727711,360,-28.0
1690527734.788917,361,-34.0
1690527734.835846,364,-28.0
1690527734.851669,365,-19.0
1690527734.8993301,368,-34.0
1690527734.914369,369,-31.0
1690527734.945992,371,-22.0
